NE22#2 Bed#92322#416#5.0
NE23#2 Bed#116780#555#5.0
NE24#2 Bed#101742#450#5.0
NE27#2 Bed#116669#572#5.0
NE29#2 Bed#115750#561#5.0
NE3#2 Bed#140994#702#5.0
NE33#2 Bed#123203#550#5.0
NE34#2 Bed#127434#552#5.0
NE35#2 Bed#118068#512#5.0
NE37#2 Bed#104012#498#5.0
NE38#2 Bed#113655#533#5.0
NE4#2 Bed#104294#520#5.0
NE49#2 Bed#102796#431#5.0
NE5#2 Bed#123598#591#5.0
NE61#2 Bed#118320#557#5.0
NG13#2 Bed#157496#659#5.0
NG15#2 Bed#132130#576#5.0
NG17#2 Bed#115314#484#5.0
NG19#2 Bed#107412#485#5.0
NG31#2 Bed#117893#541#5.0
NG6#2 Bed#114718#563#5.0
NN1#2 Bed#173772#788#5.0
NN16#2 Bed#154672#681#5.0
NN17#2 Bed#186303#823#5.0
NN18#2 Bed#158741#700#5.0
NP12#2 Bed#103982#494#5.0
NP13#2 Bed#76373#378#5.0
NP19#2 Bed#126050#605#5.0
NP20#2 Bed#126306#609#5.0
NP4#2 Bed#106375#502#5.0
NP44#2 Bed#128200#584#5.0
NP7#2 Bed#161777#676#5.0
NR12#2 Bed#163176#776#5.0
NR18#2 Bed#191538#813#5.0
NR31#2 Bed#118707#555#5.0
NR33#2 Bed#138367#636#5.0
NR8#2 Bed#173627#750#5.0
OL12#2 Bed#96582#468#5.0
OL15#2 Bed#128269#575#5.0
OL16#2 Bed#97335#485#5.0
OL2#2 Bed#130311#552#5.0
OL4#2 Bed#97289#457#5.0
OL5#2 Bed#128462#547#5.0
OL6#2 Bed#115104#513#5.0
OL7#2 Bed#117856#560#5.0
OL9#2 Bed#113342#524#5.0
OX1#2 Bed#297500#1390#5.0
OX4#2 Bed#313455#1313#5.0
PA10#2 Bed#134998#598#5.0
PA4#2 Bed#123920#559#5.0
PE1#2 Bed#145704#671#5.0
PE11#2 Bed#154818#723#5.0
PE20#2 Bed#123408#589#5.0
PE23#2 Bed#122040#509#5.0
PE4#2 Bed#158131#713#5.0
PH1#2 Bed#142899#614#5.0
PL1#2 Bed#166250#823#5.0
PL12#2 Bed#179433#800#5.0
PL31#2 Bed#131692#592#5.0
PL5#2 Bed#150263#643#5.0
PO31#2 Bed#160190#693#5.0
PO32#2 Bed#159400#750#5.0
PO4#2 Bed#198598#840#5.0
PR2#2 Bed#126624#560#5.0
PR25#2 Bed#122754#543#5.0
PR5#2 Bed#124270#577#5.0
PR7#2 Bed#129854#563#5.0
PR8#2 Bed#143647#712#5.0
PR9#2 Bed#150124#631#5.0
RG18#2 Bed#272000#1344#5.0
RG9#2 Bed#515683#2383#5.0
RH13#2 Bed#273306#1356#5.0
RM10#2 Bed#306223#1301#5.0
RM8#2 Bed#311357#1307#5.0
RM9#2 Bed#296613#1371#5.0
S12#2 Bed#124995#614#5.0
S13#2 Bed#108876#511#5.0
